y,u_centreline
-0,0
0.03,0.05
0.06,0.1
0.08,0.2
0.1,0.2
0.1,0.2
0.1,0.3
0.2,0.4
0.2,0.4
0.2,0.5
0.2,0.5
0.2,0.6
0.2,0.6
0.2,0.7
0.1,0.7
0.02,0.8
-0.1,0.8
-0.3,0.9
-0.5,0.9
-0.7,1
-1,1
