y,u_centreline
1,1
0.9,0.6
0.9,0.3
0.8,0.1
0.8,0.03
0.8,-0.05
0.7,-0.1
0.6,-0.1
0.6,-0.2
0.6,-0.2
0.5,-0.2
0.4,-0.2
0.4,-0.2
0.3,-0.2
0.3,-0.1
0.2,-0.1
0.2,-0.09
0.1,-0.07
0.1,-0.05
0.05,-0.03
0,0
