y,u_centreline
1,1
1,0.5
0.9,0.3
0.9,0.2
0.9,0.1
0.8,0.1
0.8,0.08
0.8,0.07
0.7,0.06
0.7,0.04
0.7,0.03
0.6,0.02
0.6,0.004
0.6,-0.01
0.5,-0.03
0.5,-0.05
0.5,-0.07
0.5,-0.09
0.4,-0.1
0.4,-0.1
0.4,-0.1
0.3,-0.2
0.3,-0.2
0.3,-0.2
0.2,-0.2
0.2,-0.1
0.2,-0.1
0.1,-0.1
0.1,-0.09
0.06,-0.06
0.03,-0.03
0,0
