y,u_centreline
1,1
1,0.7
0.9,0.5
0.9,0.4
0.9,0.2
0.8,0.1
0.8,0.06
0.8,0.006
0.8,-0.04
0.7,-0.08
0.7,-0.1
0.7,-0.1
0.6,-0.2
0.6,-0.2
0.6,-0.2
0.5,-0.2
0.5,-0.2
0.5,-0.2
0.4,-0.2
0.4,-0.2
0.4,-0.2
0.3,-0.2
0.3,-0.2
0.3,-0.1
0.2,-0.1
0.2,-0.1
0.2,-0.1
0.2,-0.09
0.1,-0.07
0.09,-0.06
0.06,-0.04
0.03,-0.02
0,0
