u_centreline,y
-0.000000000000000000e+00,0.000000000000000000e+00
1.457056786588200280e-02,1.250000000000000069e-02
2.848227767042488950e-02,2.500000000000000139e-02
4.197080307269899363e-02,3.750000000000000555e-02
5.524264623712892008e-02,5.000000000000000278e-02
6.848303894853990936e-02,6.250000000000000000e-02
8.185530099584717445e-02,7.500000000000001110e-02
9.549777249357516151e-02,8.750000000000000833e-02
1.095190703701788559e-01,1.000000000000000056e-01
1.239923270157500534e-01,1.125000000000000028e-01
1.389492983583830443e-01,1.250000000000000000e-01
1.543750563912283935e-01,1.375000000000000111e-01
1.702040972658095397e-01,1.500000000000000222e-01
1.863184170854843558e-01,1.625000000000000056e-01
2.025481252133637111e-01,1.750000000000000167e-01
2.186748310904639003e-01,1.875000000000000000e-01
2.344380373356638181e-01,2.000000000000000111e-01
2.495444325245392836e-01,2.125000000000000222e-01
2.636799697269966991e-01,2.250000000000000056e-01
2.765242209392746453e-01,2.375000000000000167e-01
2.877664346835109299e-01,2.500000000000000000e-01
2.971222376384750063e-01,2.625000000000000111e-01
3.043498808218640939e-01,2.750000000000000222e-01
3.092645272776710641e-01,2.875000000000000333e-01
3.117493301536771177e-01,3.000000000000000444e-01
3.117619853376552008e-01,3.125000000000000000e-01
3.093361526826909902e-01,3.250000000000000111e-01
3.045773973317515981e-01,3.375000000000000222e-01
2.976542582325159003e-01,3.500000000000000333e-01
2.887852672009874055e-01,3.625000000000000444e-01
2.782235133562585006e-01,3.750000000000000000e-01
2.662401532754903322e-01,3.875000000000000111e-01
2.531086097124868317e-01,4.000000000000000222e-01
2.390905543595303051e-01,4.125000000000000333e-01
2.244247945084971718e-01,4.250000000000000444e-01
2.093193437951450520e-01,4.375000000000000000e-01
1.939469478007675995e-01,4.500000000000000111e-01
1.784435989883483842e-01,4.625000000000000222e-01
1.629097283504714611e-01,4.750000000000000333e-01
1.474132628751987362e-01,4.875000000000000444e-01
1.319940678170326009e-01,5.000000000000000000e-01
1.166690051361878311e-01,5.125000000000000666e-01
1.014372494249773382e-01,5.250000000000000222e-01
8.628533572982988176e-02,5.374999999999999778e-01
7.119179708874234791e-02,5.500000000000000444e-01
5.613113135921121710e-02,5.625000000000000000e-01
4.107712980696298644e-02,5.750000000000000666e-01
2.600550048121785807e-02,5.875000000000000222e-01
1.089590272198304177e-02,6.000000000000000888e-01
-4.266570010288184278e-03,6.125000000000000444e-01
-1.949034034734342669e-02,6.250000000000000000e-01
-3.477665598888179943e-02,6.375000000000000666e-01
-5.011918626325417847e-02,6.500000000000000222e-01
-6.550382986862057777e-02,6.625000000000000888e-01
-8.090872776799784560e-02,6.750000000000000444e-01
-9.630441122154920208e-02,6.875000000000000000e-01
-1.116541393108878566e-01,7.000000000000000666e-01
-1.269143564931480839e-01,7.125000000000000222e-01
-1.420353730356795907e-01,7.250000000000000888e-01
-1.569622005691533317e-01,7.375000000000000444e-01
-1.716357096160607831e-01,7.500000000000000000e-01
-1.859941125270161422e-01,7.625000000000000666e-01
-1.999751593757506107e-01,7.750000000000000222e-01
-2.135194647955152014e-01,7.875000000000000888e-01
-2.265762211939037485e-01,8.000000000000000444e-01
-2.391132769810684344e-01,8.125000000000000000e-01
-2.511354966696872637e-01,8.250000000000000666e-01
-2.627173682125611975e-01,8.375000000000000222e-01
-2.740588797414780231e-01,8.500000000000000888e-01
-2.855753396777549469e-01,8.625000000000000444e-01
-2.980307822023244846e-01,8.750000000000000000e-01
-3.127154225761814565e-01,8.875000000000000666e-01
-3.316465692920576025e-01,9.000000000000000222e-01
-3.577343954144420746e-01,9.125000000000000888e-01
-3.948025896537468160e-01,9.250000000000000444e-01
-4.473015076321755212e-01,9.375000000000000000e-01
-5.195321721849797125e-01,9.500000000000000666e-01
-6.142651225335098442e-01,9.625000000000000222e-01
-7.308578275655315259e-01,9.750000000000000888e-01
-8.633967337122705477e-01,9.875000000000000444e-01
-1.000000000000000000e+00,1.000000000000000000e+00
